Date,App_Name,Category,Minutes_Used
2026-08-01,Instagram,Social Media,95
2026-08-01,YouTube,Entertainment,80
2026-08-01,ChatGPT,Education,45
2026-08-01,VS Code,Coding,120
2026-08-02,Instagram,Social Media,110
2026-08-02,YouTube,Entertainment,95
2026-08-02,ChatGPT,Education,55
2026-08-02,VS Code,Coding,140
2026-08-03,Instagram,Social Media,75
2026-08-03,Netflix,Entertainment,130
2026-08-03,Google,Education,40
2026-08-03,VS Code,Coding,150
2026-08-04,Instagram,Social Media,120
2026-08-04,YouTube,Entertainment,100
2026-08-04,ChatGPT,Education,60
2026-08-04,VS Code,Coding,135
2026-08-05,Instagram,Social Media,65
2026-08-05,Spotify,Entertainment,90
2026-08-05,Google,Education,70
2026-08-05,VS Code,Coding,160
2026-08-06,Instagram,Social Media,140
2026-08-06,YouTube,Entertainment,125
2026-08-06,ChatGPT,Education,50
2026-08-06,VS Code,Coding,110
2026-08-07,Instagram,Social Media,100
2026-08-07,Netflix,Entertainment,150
2026-08-07,Google,Education,35
2026-08-07,VS Code,Coding,130
2026-08-08,Instagram,Social Media,85
2026-08-08,YouTube,Entertainment,105
2026-08-08,ChatGPT,Education,65
2026-08-08,VS Code,Coding,155
2026-08-09,Instagram,Social Media,155
2026-08-09,YouTube,Entertainment,145
2026-08-09,Google,Education,30
2026-08-09,VS Code,Coding,100
2026-08-10,Instagram,Social Media,90
2026-08-10,Spotify,Entertainment,75
2026-08-10,ChatGPT,Education,80
2026-08-10,VS Code,Coding,170
2026-08-11,Instagram,Social Media,130
2026-08-11,Netflix,Entertainment,115
2026-08-11,Google,Education,45
2026-08-11,VS Code,Coding,145
2026-08-12,Instagram,Social Media,70
2026-08-12,YouTube,Entertainment,90
2026-08-12,ChatGPT,Education,75
2026-08-12,VS Code,Coding,180
2026-08-13,Instagram,Social Media,125
2026-08-13,YouTube,Entertainment,120
2026-08-13,Google,Education,55
2026-08-13,VS Code,Coding,125
2026-08-14,Instagram,Social Media,180
2026-08-14,YouTube,Entertainment,150
2026-08-14,ChatGPT,Education,60
2026-08-14,VS Code,Coding,90
